"type","location","37292","37291","37290","37289","37288","37287","37286","37285","37284","37283","37282","37281","37280","37279","37278","37277","37276","37275","37274","37273","37272","37271","37270","37269","37268","37267","37266","37265","37264","37263","37262","37261","37260","37259","37258","37257","37256","37255","37254","37253","37252","37251","37250","37249","37248","37247","37246","37245","37244","37243","37242","37241","37240","37239","37238","37237","37236","37235","37234","37233","37232","37231","37230","37229","37228","37227","37226","37225","37224","37223","37222","37221","37220","37219","37218","37217","37216","37215","37214","37213","37212","37211","37210","37209","37208","37207","37206","37205","37204","37203","37202","37201","37200","37199","37198","37197","37196","37195","37194","37193","37192","37191","37190","37189","37188","37187","37186","37185","37184","37183","37182","37181","37180","37179","37178","37177","37176","37175","37174","37173","37172","37171","37170","37169","37168","37167","37166","37165","37164","37163","37162","37161","37160","37159","37158","37157","37156","37155","37154","37153","37152","37151","37150","37149","37148","37147","37146","37145","37144","37143","37142","37141","37140","37139","37138","37137","37136","37135"
NA,"SEA ROBIN","123367","123367","123367","123367","75291","30273","100268","100268","91544","91544","91544","114249","89961","90431","93880","93880","93880","93880","78357","84397","75057","88532","88532","88532","88532","123092","62811","57341","46721","46721","46721","46721","94674","94674","71298","117593","117593","117593","117593","38424","38424","38424","38424","38424","38424","38424","38524","52141","0","0","0","0","0","0","0","0","123756","123756","123756","123756","144102","73618","80546","122932","120610","120610","120610","77300","77300","202738","141028","141028","141028","141028","99195","99195","115628","120091","120091","120091","120091","69362","69362","44509","106702","45350","45350","45350","75150","75150","106047","180766","180766","180766","180766","120480","50747","54827","77983","77983","79782","79782","38939","135090","135220","135220","109079","0","0","0","0","0","0","0","184028","184028","184028","94932","73439","89291","141126","141126","141126","146103","70645","123404","131228","131228","131228","131228","134487","104131","102430","173767","173767","155747","155747","155747","90905","181099","194482","194482","194482","194482","147740","152945","152945","152945","199046","138905","138905","138905","147240","230426","207779","147296","147296","147296"
NA,"TEXAS GAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"TRUNKLINE","0","0","0","0","0","0","0","0","0","0","0","0","35600","39101","11500","11500","11500","11500","12000","34000","10000","0","0","0","0","18000","0","0","0","0","0","0","0","0","0","0","0","0","0","11722","11722","11722","11722","11722","11722","11722","0","0","0","0","0","0","0","15000","0","0","0","0","0","0","0","0","0","0","21343","21343","21343","21333","21333","31333","31369","31369","31369","31369","31656","31656","31333","31333","31333","31333","31333","31333","31333","21333","21333","21333","21333","21333","21333","21333","21333","22839","22839","22839","22839","55558","26550","20222","20223","20223","8971","8971","8971","8971","8971","8971","8971","8971","8971","8971","18142","8971","7096","7096","7096","7096","7096","7096","7096","7096","7096","7096","7096","7096","17096","7096","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","22000","51730","22000","22000","22000","22000","22000","22000","50000","50000","50000"
NA,"TRANSCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Total","424772","424772","424772","424772","540257","437292","438470","438470","506298","506298","506298","515563","578453","606356","494589","494589","494589","494589","531463","561506","547293","446822","446822","446822","446822","492639","518198","473520","572824","572824","572824","572824","549228","549228","554587","444470","444470","444470","444470","496212","496212","496212","496212","496212","496212","496212","420240","355514","419740","374396","374396","374396","374396","442125","405691","490047","485626","485626","485626","485626","457075","646984","434272","435617","704237","704237","704237","514535","514535","810005","654242","654242","654242","654242","626626","626626","613941","681000","681000","681000","681000","621130","621130","504081","606004","516146","516146","516146","522118","522118","551923","618341","618341","618341","618341","560209","433036","421109","502913","502913","655302","655302","447756","521846","446062","446062","585731","466727","466727","466727","587961","391982","463880","463880","570931","570931","570931","438699","464983","496714","524614","524614","524614","645967","428277","487795","476726","476726","476726","476726","451873","517995","604813","471287","471287","504970","504970","504970","496614","489244","512088","512088","512088","512088","519913","453916","465724","465724","673525","472734","472734","472734","472180","646477","675561","502959","502959","502959"
"Deliveries HH","ACADIAN","-25877","-25877","-25877","-25877","0","-51963","-30018","-30018","0","0","0","0","0","-9323","-21323","-21323","-21323","-21323","-16323","-17823","0","-13323","-13323","-13323","-13323","-61323","-96323","-66323","-98824","-98824","-98824","-98824","-96421","-96421","-59355","-36234","-36234","-36234","-36234","0","0","0","0","0","0","0","-35748","0","0","0","0","0","0","0","0","-5266","0","0","0","0","-672","-13049","-2730","0","0","0","0","-797","-797","0","0","0","0","0","-8256","-8256","-11379","-45500","-45500","-45500","-45500","-40000","-40000","-5257","-17809","-37028","-37028","-37028","-65500","-65500","-51129","0","0","0","0","0","-1","-32629","-27629","-27629","-44629","-44629","-34629","-34629","-34629","-34629","-36129","-14629","-14629","-14629","-14225","-37629","0","0","-10129","-10129","-10129","0","0","-6606","-10274","-10274","-10274","0","-21019","-25019","0","0","0","0","-20474","-15974","-35474","-21274","-21274","-45474","-45474","-45474","-55437","-37425","-47201","-47201","-47201","-47201","-66071","-43000","-43000","-43000","-30000","-50796","-50796","-50796","-41047","-30264","0","-45374","-45374","-45374"
NA,"BRIDGELINE","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-73501","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-38968","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000","-85000"
NA,"COLUMBIA GULF","-28933","-28933","-28933","-28933","-11202","-564","-15989","-15989","-12872","-12872","-12872","-13065","-15780","-120360","-52962","-52962","-52962","-52962","-4054","-2114","-23826","-28883","-28883","-28883","-28883","-73537","-45099","-40083","-146981","-146981","-146981","-146981","-73027","-73027","-39210","-67378","-67378","-67378","-67378","-18806","-18806","-18806","-18806","-18806","-18806","-18806","-2354","-1258","-258","-15","-15","-15","-15","-693","-215","-26","-29136","-29136","-29136","-29136","-5041","-23865","-6860","-17782","-34712","-34712","-34712","-10000","-10000","-4045","-50877","-50877","-50877","-50877","-43399","-43399","-12211","-10044","-10044","-10044","-10044","-29","-29","-17409","-34470","-4082","-4082","-4082","-42333","-42333","-70105","0","0","0","0","-10000","-10030","-148694","-86740","-86740","-165000","-165000","-96852","-60100","-890","-890","-70157","-49106","-49106","-49106","-47169","-13011","-33","-33","-18478","-18478","-18478","-11628","-33","-47030","-30","-30","-30","-150304","-10029","-94173","-33081","-33081","-33081","-33081","-29798","0","-30","-13833","-13833","0","0","0","-20","-23749","-10070","-10070","-10070","-10070","-30","-30","-30","-30","-29619","-1659","-1659","-1659","-6002","-57701","-4723","-15","-15","-15"
NA,"DIGCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"JEFFERSON ISLAND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"GULF SOUTH","-13239","-13239","-13239","-13239","-79443","-72242","-79820","-79820","-71333","-71333","-71333","-89435","-78737","-65875","-79111","-79111","-79111","-79111","-55471","-59211","-72590","-84346","-84346","-84346","-84346","-67765","-62723","-88778","-55747","-55747","-55747","-55747","-142227","-142227","-71063","-60805","-60805","-60805","-60805","-37522","-37522","-37522","-37522","-37522","-37522","-37522","-79498","-44005","-105978","-136627","-136627","-136627","-136627","-85653","-64964","-136031","-25809","-25809","-25809","-25809","-54879","-44293","-32285","-62838","-208869","-208869","-208869","-117612","-117612","-180294","-136512","-136512","-136512","-136512","-135546","-135546","-254208","-275579","-275579","-275579","-275579","-240112","-240112","-123898","-171379","-110144","-110144","-110144","-79286","-79286","-108127","-172779","-172779","-172779","-172779","-146705","-85614","-75072","-85134","-85134","-35993","-35993","-43683","-78026","-75701","-75701","-84050","-43245","-43245","-43245","-66423","-35745","-38745","-38745","-58392","-58392","-58392","-69070","-54315","-58455","-74551","-74551","-74551","-51408","-106955","-63355","-131665","-131665","-131665","-131665","-145881","-212178","-333121","-129621","-129621","-140889","-140889","-140889","-144954","-90621","-125887","-125887","-125887","-125887","-167799","-145832","-145832","-145832","-86832","-121165","-121165","-121165","-135477","-179954","-176445","-231939","-231939","-231939"
NA,"MAINLINE","-7500","-7500","-7500","-7500","0","0","0","0","-1000","-1000","-1000","0","-7500","-5000","-7500","-7500","-7500","-7500","-7500","0","0","0","0","0","0","-7500","-7500","0","-2000","-2000","-2000","-2000","-6000","-6000","-3000","0","0","0","0","-7500","-7500","-7500","-7500","-7500","-7500","-7500","-7500","0","0","0","0","0","0","0","0","0","0","0","0","0","-7000","0","0","0","0","0","0","-5000","-5000","0","0","0","0","0","-7500","-7500","-7500","-5000","-5000","-5000","-5000","0","0","-3000","-4000","-1000","-1000","-1000","-3200","-3200","0","0","0","0","0","0","-4945","-4945","0","0","-7500","-7500","0","0","0","0","0","-7500","-7500","-7500","-2500","0","0","0","-7500","-7500","-7500","-7500","-2000","0","-7500","-7500","-7500","-7500","-3000","0","0","0","0","0","-7500","-7500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"NGPL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5611","0","0","0","0","0","0","-5011","-4900","0","0","0","0","0","-29637","-29637","-32914","-4000","-4000","-4000","-4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"SONAT","-9764","-9764","-9764","-9764","-26313","-42041","-53013","-53013","-91623","-91623","-91623","-78925","-67858","-29030","-46030","-46030","-46030","-46030","-10000","-5052","-49030","-21613","-21613","-21613","-21613","-1000","-68818","-64942","-85371","-85371","-85371","-85371","-79090","-79090","-51652","-22145","-22145","-22145","-22145","-68759","-68759","-68759","-68759","-68759","-68759","-68759","-49510","-26365","-45","-25000","-25000","-25000","-25000","-19","-199","0","-7684","-7684","-7684","-7684","-3941","-10000","-61","-9999","-10","-10","-10","0","0","-42533","0","0","0","0","-42244","-42244","-50332","-10048","-10048","-10048","-10048","-5534","-5534","-14044","-38504","-14000","-14000","-14000","0","0","-10500","0","0","0","0","0","-30","-43037","-66032","-66032","-65689","-65689","-57278","-47689","-18654","-18654","-5594","-1294","-1294","-1294","-114927","-4037","-129","-129","-5939","-5939","-5939","-16581","-37774","-46143","0","0","0","-297","-10000","-3992","-21799","-21799","-21799","-21799","-5778","-72890","-10000","0","0","-48057","-48057","-48057","-33867","0","0","0","0","0","0","0","0","0","-9047","0","0","0","0","-7000","0","0","0","0"
NA,"SEA ROBIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"TEXAS GAS","-43878","-43878","-43878","-43878","-139742","-43592","-46308","-46308","-37415","-37415","-37415","-58394","-16051","-167725","-53938","-53938","-53938","-53938","-24015","-16136","-31040","-22572","-22572","-22572","-22572","-44433","-21037","-21251","-58221","-58221","-58221","-58221","-25000","-25000","-111648","-46000","-46000","-46000","-46000","-16029","-16029","-16029","-16029","-16029","-16029","-16029","-25076","-28800","-36000","-16068","-16068","-16068","-16068","-21815","-28212","-74543","-168975","-168975","-168975","-168975","-94715","-179279","-7715","-17360","-72290","-72290","-72290","-18888","-18888","-59270","-68171","-68171","-68171","-68171","-37721","-37721","-104448","-33723","-33723","-33723","-33723","-15201","-15201","-50176","-74987","-26714","-26714","-26714","-33363","-33363","-60174","-15223","-15223","-15223","-15223","-32115","-40204","-15740","-93733","-93733","-77372","-77372","-84219","-43360","-69317","-69317","-81055","-79354","-79354","-79354","-67371","-24317","-46554","-46554","-18201","-18201","-18201","-21608","-21056","-15201","-49982","-49982","-49982","-59309","-16245","-15201","-72319","-72319","-72319","-72319","-15202","-44020","-15201","-42638","-42638","-25201","-25201","-25201","-32883","-20201","-35201","-35201","-35201","-35201","-15201","-15201","-15201","-15201","-36257","-30201","-30201","-30201","-15201","-15201","-47428","-84487","-84487","-84487"
NA,"TRUNKLINE","-55","-55","-55","-55","0","-6255","0","0","0","0","0","0","0","-55","-55","-55","-55","-55","0","0","0","-6055","-6055","-6055","-6055","-55","-55","0","-55","-55","-55","-55","0","0","-4872","0","0","0","0","0","0","0","0","0","0","0","0","-55","0","-55","-55","-55","-55","-12000","0","0","-7998","-7998","-7998","-7998","-8498","0","0","-36702","-14463","-14463","-14463","-10000","-10000","-23412","-5400","-5400","-5400","-5400","0","0","-12","0","0","0","0","-63","-63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-7800","-7800","-75000","-23580","-8","-8","-20867","0","0","0","0","0","-24100","-24100","0","0","0","0","0","0","-6000","-6000","-6000","0","0","0","-1079","-1079","-1079","-1079","-5000","0","0","0","0","0","0","0","0","-14968","-2400","-2400","-2400","-2400","-20000","0","0","0","0","0","0","0","0","0","-500","-9","-9","-9"
NA,"TRANSCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Total","-214246","-214246","-214246","-214246","-341700","-301657","-310148","-310148","-299243","-299243","-299243","-324819","-270926","-482368","-345919","-345919","-345919","-345919","-202363","-185336","-261486","-261792","-261792","-261792","-261792","-340613","-386555","-366377","-532199","-532199","-532199","-532199","-506765","-506765","-425800","-317562","-317562","-317562","-317562","-233616","-233616","-233616","-233616","-233616","-233616","-233616","-284686","-185483","-227281","-262765","-262765","-262765","-262765","-210791","-178590","-300866","-324602","-324602","-324602","-324602","-264757","-360386","-134651","-229681","-415344","-415344","-415344","-276934","-276934","-427468","-349960","-349960","-349960","-349960","-359666","-359666","-525090","-464894","-464894","-464894","-464894","-385939","-385939","-298784","-426149","-277968","-277968","-277968","-308682","-308682","-373536","-273002","-273002","-273002","-273002","-273820","-225824","-405117","-444268","-444268","-488983","-488983","-430629","-372384","-284199","-284199","-382852","-280128","-280128","-280128","-397615","-199739","-194561","-194561","-203639","-203639","-203639","-211387","-200178","-258435","-233337","-233337","-233337","-353818","-252248","-286740","-344943","-344943","-344943","-344943","-314634","-437562","-478826","-292366","-292366","-344621","-344621","-344621","-352161","-271964","-305759","-305759","-305759","-305759","-354101","-289063","-289063","-289063","-276755","-288821","-288821","-288821","-282727","-375120","-314096","-446824","-446824","-446824"
